event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
MDT_EVT_20101213_000000_0,2010-12-10 00:00:00+00:00,2010-12-13 00:00:00+00:00,27.9177,1,73,MDT
MDT_EVT_20110418_000000_1,2011-04-15 00:00:00+00:00,2011-04-18 00:00:00+00:00,31.7425,1,160,MDT
MDT_EVT_20110819_000000_2,2011-08-18 00:00:00+00:00,2011-08-19 00:00:00+00:00,24.4099,-1,246,MDT
MDT_EVT_20120312_000000_3,2012-03-09 00:00:00+00:00,2012-03-12 00:00:00+00:00,29.9369,-1,386,MDT
MDT_EVT_20120424_000000_4,2012-04-23 00:00:00+00:00,2012-04-24 00:00:00+00:00,29.7164,-1,416,MDT
MDT_EVT_20130222_000000_5,2013-02-21 00:00:00+00:00,2013-02-22 00:00:00+00:00,36.4318,1,624,MDT
MDT_EVT_20130809_000000_6,2013-08-08 00:00:00+00:00,2013-08-09 00:00:00+00:00,45.6389,1,741,MDT
MDT_EVT_20131112_000000_7,2013-11-11 00:00:00+00:00,2013-11-12 00:00:00+00:00,47.7142,1,807,MDT
MDT_EVT_20140918_000000_8,2014-09-17 00:00:00+00:00,2014-09-18 00:00:00+00:00,55.3412,1,1020,MDT
MDT_EVT_20141112_000000_9,2014-11-11 00:00:00+00:00,2014-11-12 00:00:00+00:00,57.4924,1,1059,MDT
MDT_EVT_20150513_000000_10,2015-05-12 00:00:00+00:00,2015-05-13 00:00:00+00:00,63.6071,-1,1183,MDT
MDT_EVT_20151023_000000_11,2015-10-22 00:00:00+00:00,2015-10-23 00:00:00+00:00,62.7153,1,1297,MDT
MDT_EVT_20160302_000000_12,2016-03-01 00:00:00+00:00,2016-03-02 00:00:00+00:00,63.9301,-1,1385,MDT
MDT_EVT_20161222_000000_13,2016-12-21 00:00:00+00:00,2016-12-22 00:00:00+00:00,62.6965,-1,1591,MDT
MDT_EVT_20170524_000000_14,2017-05-23 00:00:00+00:00,2017-05-24 00:00:00+00:00,74.7528,1,1695,MDT
MDT_EVT_20170703_000000_15,2017-06-30 00:00:00+00:00,2017-07-03 00:00:00+00:00,78.2813,1,1722,MDT
MDT_EVT_20171013_000000_16,2017-10-12 00:00:00+00:00,2017-10-13 00:00:00+00:00,69.4306,-1,1794,MDT
MDT_EVT_20171218_000000_17,2017-12-15 00:00:00+00:00,2017-12-18 00:00:00+00:00,74.5303,1,1839,MDT
MDT_EVT_20180125_000000_18,2018-01-24 00:00:00+00:00,2018-01-25 00:00:00+00:00,77.0871,1,1864,MDT
MDT_EVT_20180302_000000_19,2018-03-01 00:00:00+00:00,2018-03-02 00:00:00+00:00,69.8333,-1,1889,MDT
MDT_EVT_20180731_000000_20,2018-07-30 00:00:00+00:00,2018-07-31 00:00:00+00:00,81.0409,1,1993,MDT
MDT_EVT_20190617_000000_21,2019-06-14 00:00:00+00:00,2019-06-17 00:00:00+00:00,89.8739,1,2213,MDT
MDT_EVT_20190820_000000_22,2019-08-19 00:00:00+00:00,2019-08-20 00:00:00+00:00,100.076,1,2258,MDT
MDT_EVT_20200129_000000_23,2020-01-28 00:00:00+00:00,2020-01-29 00:00:00+00:00,112.067,1,2369,MDT
MDT_EVT_20200305_000000_24,2020-03-04 00:00:00+00:00,2020-03-05 00:00:00+00:00,96.1895,-1,2394,MDT
MDT_EVT_20200817_000000_25,2020-08-14 00:00:00+00:00,2020-08-17 00:00:00+00:00,96.7802,1,2508,MDT
MDT_EVT_20201116_000000_26,2020-11-13 00:00:00+00:00,2020-11-16 00:00:00+00:00,108.778,1,2572,MDT
MDT_EVT_20210121_000000_27,2021-01-20 00:00:00+00:00,2021-01-21 00:00:00+00:00,113.917,1,2616,MDT
MDT_EVT_20210603_000000_28,2021-06-02 00:00:00+00:00,2021-06-03 00:00:00+00:00,118.791,-1,2708,MDT
MDT_EVT_20210728_000000_29,2021-07-27 00:00:00+00:00,2021-07-28 00:00:00+00:00,126.017,1,2746,MDT
MDT_EVT_20210903_000000_30,2021-09-02 00:00:00+00:00,2021-09-03 00:00:00+00:00,130.31,1,2773,MDT
MDT_EVT_20211104_000000_31,2021-11-03 00:00:00+00:00,2021-11-04 00:00:00+00:00,118.25,-1,2816,MDT
MDT_EVT_20211209_000000_32,2021-12-08 00:00:00+00:00,2021-12-09 00:00:00+00:00,108.877,-1,2840,MDT
MDT_EVT_20220408_000000_33,2022-04-07 00:00:00+00:00,2022-04-08 00:00:00+00:00,110.324,1,2923,MDT
MDT_EVT_20220520_000000_34,2022-05-19 00:00:00+00:00,2022-05-20 00:00:00+00:00,101.926,-1,2952,MDT
MDT_EVT_20220630_000000_35,2022-06-29 00:00:00+00:00,2022-06-30 00:00:00+00:00,88.7107,-1,2979,MDT
MDT_EVT_20230217_000000_36,2023-02-16 00:00:00+00:00,2023-02-17 00:00:00+00:00,84.2,1,3139,MDT
MDT_EVT_20230905_000000_37,2023-09-01 00:00:00+00:00,2023-09-05 00:00:00+00:00,81.88,-1,3275,MDT
MDT_EVT_20231020_000000_38,2023-10-19 00:00:00+00:00,2023-10-20 00:00:00+00:00,72.46,-1,3308,MDT
MDT_EVT_20240425_000000_39,2024-04-24 00:00:00+00:00,2024-04-25 00:00:00+00:00,80.04,-1,3436,MDT
MDT_EVT_20240626_000000_40,2024-06-25 00:00:00+00:00,2024-06-26 00:00:00+00:00,79.5,-1,3478,MDT
MDT_EVT_20240709_000000_41,2024-07-08 00:00:00+00:00,2024-07-09 00:00:00+00:00,76.84,-1,3486,MDT
MDT_EVT_20240716_000000_42,2024-07-15 00:00:00+00:00,2024-07-16 00:00:00+00:00,77.04,-1,3491,MDT
MDT_EVT_20241202_000000_43,2024-11-29 00:00:00+00:00,2024-12-02 00:00:00+00:00,86.26,-1,3588,MDT
MDT_EVT_20250417_000000_44,2025-04-16 00:00:00+00:00,2025-04-17 00:00:00+00:00,82.51,-1,3681,MDT
MDT_EVT_20250721_000000_45,2025-07-18 00:00:00+00:00,2025-07-21 00:00:00+00:00,89.405,1,3744,MDT
